Journal Title;"Online
ISSN";Subject Area;License types offered;Full Article Publication Charge;;
Journal of Applied Social Psychology;15591816;Applied Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Journal of Applied Toxicology;10991263;Toxicology;CC BY, CC BY-NC or CC BY-NC-ND;$3.940;£2.600;€ 3.270
Journal of Basic Microbiology;15214028;Microbiology;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
Journal of Behavioral Decision Making;10990771;Decision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.510;€ 3.070
Journal of Biochemical and Molecular Toxicology;10990461;Toxicology;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.730;€ 3.350
Journal of Biogeography;13652699;Conservation Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.830;£3.230;€ 4.010
Journal of Biomedical Materials Research Part A;15524965;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.980;€ 3.600
Journal of Biomedical Materials Research Part B: Applied Biomaterials;15524981;Polymer Science & Technology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.430;€ 2.900
Journal of Biophotonics;18640648;Optics & Photonics;CC BY, CC BY-NC or CC BY-NC-ND;$3.370;£2.250;€ 2.810
Journal of Business Finance & Accounting;14685957;Corporate Finance;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Journal of Business Logistics;21581592;Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.320;€ 3.000
Journal of Cardiovascular Electrophysiology;15408167;Cardiovascular Disease;CC BY, CC BY-NC or CC BY-NC-ND;$4.500;£3.030;€ 3.770
Journal of Cellular Biochemistry;10974644;Cell Biology (Life Sciences);CC BY, CC BY-NC or CC BY-NC-ND;$5.110;£3.400;€ 4.210
Journal of Cellular Physiology;10974652;Genomics & Proteomics;CC BY, CC BY-NC or CC BY-NC-ND;$5.230;£3.490;€ 4.360
Journal of Chemical Technology and Biotechnology;10974660;General & Introductory Chemical Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.750;€ 3.400
Journal of Chemometrics;1099128X;Lab Automation & Miniaturization;CC BY, CC BY-NC or CC BY-NC-ND;$3.710;£2.490;€ 3.080
Journal of Child and Adolescent Psychiatric Nursing;17446171;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Journal of Child Psychology and Psychiatry;14697610;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$4.530;£3.040;€ 3.760
Journal of Clinical Apheresis;10981101;Hematology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.560;€ 3.290
Journal of Clinical Nursing;13652702;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.550
Journal of Clinical Periodontology;1600051X;Periodontology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.510;£3.660;€ 4.620
Journal of Clinical Psychology;10974679;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.710;£2.490;€ 3.100
Journal of Clinical Ultrasound;10970096;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Journal of Combinatorial Designs;15206610;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
Journal of Community & Applied Social Psychology;10991298;Applied Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.350;€ 2.960
Journal of Community Psychology;15206629;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.500;€ 3.110
Journal of Computational Chemistry;1096987X;Computational Chemistry & Molecular Modeling;CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£3.030;€ 3.750
Journal of Computer Assisted Learning;13652729;General & Introductory Education;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Journal of Consumer Affairs;17456606;Introductory Marketing;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.780
Journal of Consumer Behaviour;14791838;Consumer Behavior;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
Journal of Consumer Psychology;15327663;Business & Management Special Topics;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Journal of Contingencies and Crisis Management;14685973;General & Introductory Political Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Journal of Corporate Accounting & Finance;10970053;Corporate Finance;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Journal of Counseling & Development;15566676;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Critical Infrastructure Policy;26933101;Infrastructure;CC BY, CC BY-NC or CC BY-NC-ND;$2.730;£2.010;€ 2.360
Journal of Cutaneous Pathology;16000560;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Journal of Dental Education;19307837;Dental Professional Practice;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Journal of Digestive Diseases;17512980;Gastroenterology;CC BY, CC BY-NC or CC BY-NC-ND;$3.100;£2.050;€ 2.570
Journal of Ecology;13652745;Plant Ecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.610;£2.410;€ 3.000
Journal of Economic Surveys;14676419;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.830;€ 3.570
Journal of Economics & Management Strategy;15309134;Financial Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.240;£2.160;€ 2.740
Journal of Educational Measurement;17453984;Educational Research & Statistics;CC BY, CC BY-NC or CC BY-NC-ND;$3.040;£2.410;€ 2.760
Journal of Elder Policy;27677451;Geriatric Medicine;CC BY;$2.810;£2.060;€ 2.430
Journal of Empirical Legal Studies;17401461;General & Introductory Law;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.780
Journal of Employment Counseling;21611920;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Engineering Education;21689830;General & Introductory Electrical & Electronics Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.710;£2.470;€ 3.090
Journal of Environmental Quality;15372537;Environmental Change;CC BY, CC BY-NC or CC BY-NC-ND;$1.910;£1.510;€ 1.740
Journal of Esthetic and Restorative Dentistry;17088240;Esthetic Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Journal of Eukaryotic Microbiology;15507408;Microbiology;CC BY, CC BY-NC or CC BY-NC-ND;$3.090;£2.060;€ 2.580
Journal of Evaluation in Clinical Practice;13652753;Consumer Health General;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£3.010;€ 3.700
Journal of Evidence-Based Medicine;17565391;Evidence-Based Health Care;CC BY, CC BY-NC or CC BY-NC-ND;$2.550;£1.700;€ 2.100
Journal of Experimental Zoology Part A: Ecological and Intergrative Physiology;19325231;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.190;£2.160;€ 2.650
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution;15525015;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.460;£2.330;€ 2.890
Journal of Family Theory & Review;17562589;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Family Therapy;14676427;Family Therapy;CC BY, CC BY-NC or CC BY-NC-ND;$3.190;£2.160;€ 2.650
Journal of Field Robotics;15564967;General & Introductory Electrical & Electronics Engineering;CC BY, CC BY-NC or CC BY-NC-ND;$3.590;£2.380;€ 3.010
Journal of Financial Research;14756803;General Finance & Investments;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Journal of Fish Biology;10958649;General Aquaculture, Fisheries & Fish Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.010;€ 3.750
Journal of Fish Diseases;13652761;General Aquaculture, Fisheries & Fish Science;CC BY, CC BY-NC or CC BY-NC-ND;$5.450;£3.630;€ 4.550
Journal of Food Process Engineering;17454530;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Journal of Food Safety;17454565;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.790;£2.550;€ 3.160
Journal of Food Science;17503841;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.800
Journal of Forecasting;1099131X;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Journal of Forensic Sciences;15564029;Forensic Science;CC BY, CC BY-NC or CC BY-NC-ND;$4.330;£2.870;€ 3.620
Journal of Gastroenterology and Hepatology;14401746;Gastroenterology & Hepatology;CC BY*, CC BY-NC or CC BY-NC-ND;$4.620;£3.100;€ 3.840
Journal of Genetic Counseling;15733599;Human Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.540;€ 3.190
Journal of Geophysical Research: Atmospheres;21698996;Atmospheric Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Biogeosciences;21698961;Paleontology, Paleobiology & Geobiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Earth Surface;21699011;Geomorphology;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Oceans;21699291;Oceanography & Paleoceanography;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Planets;21699100;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Solid Earth;21699356;Geology & Geophysics;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Geophysical Research: Space Physics;21699402;Atmospheric Physics & Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.910;€ 3.490
Journal of Graph Theory;10970118;Graph Theory;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.720;€ 3.470
Journal of Healthcare Risk Management;20400861;Law & Ethics in Health & Social Care;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Journal of Hepato-Biliary-Pancreatic Sciences;18686982;Surgery & Surgical Specialties;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.100
Journal of Heterocyclic Chemistry;19435193;Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.840
Journal of Hospital Medicine;15535606;General & Internal Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.610;€ 2.900
Journal of Human Nutrition and Dietetics;1365277X;Nutrition;CC BY, CC BY-NC or CC BY-NC-ND;$4.120;£2.780;€ 3.450
Journal of Industrial Ecology;15309290;Environmental Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Journal of Inherited Metabolic Disease;15732665;Metabolic Disease;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.310;€ 2.890
Journal of Integrative Plant Biology;17447909;Plant Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.000;£1.810;€ 2.370
Journal of Intellectual Disability Research;13652788;Intellectual Disability;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.610;€ 3.290
Journal of Internal Medicine;13652796;General & Internal Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.180;€ 3.980
Journal of International Development;10991328;General & Introductory Development Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
Journal of International Financial Management & Accounting;1467646X;International Finance;CC BY, CC BY-NC or CC BY-NC-ND;$3.010;£1.980;€ 2.510
Journal of Investigative Psychology and Offender Profiling;15444767;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Journal of Labelled Compounds and Radiopharmaceuticals;10991344;Methods - Synthesis & Techniques;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Journal of Law and Society;14676478;General & Introductory Law;CC BY, CC BY-NC or CC BY-NC-ND;$3.170;£2.100;€ 2.670
Journal of Leadership Studies;1935262X;Organization & Management Theory;CC BY, CC BY-NC or CC BY-NC-ND;$3.150;£2.100;€ 2.630
Journal of Legal Studies Education;17441722;Commercial Law;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Linguistic Anthropology;15481395;Linguistic Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Journal of Magnetic Resonance Imaging;15222586;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.680;£2.630;€ 3.150
Journal of Management Studies;14676486;Management;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Journal of Marital and Family Therapy;17520606;Family Therapy;CC BY, CC BY-NC or CC BY-NC-ND;$3.010;£1.980;€ 2.560
Journal of Marriage and Family;17413737;Family Studies General;CC BY, CC BY-NC or CC BY-NC-ND;$4.050;£2.700;€ 3.400
Journal of Mass Spectrometry;10969888;Mass Spectrometry;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Journal of Medical Imaging and Radiation Oncology;17549485;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Journal of Medical Primatology;16000684;Dermatology;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Journal of Medical Virology;10969071;Infectious Disease & Microbiology;CC BY, CC BY-NC or CC BY-NC-ND;$4.730;£3.160;€ 3.880
Journal of Metamorphic Geology;15251314;Geochemistry & Mineralogy;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.350;€ 4.150
Journal of Microscopy;13652818;Microscopy;CC BY, CC BY-NC or CC BY-NC-ND;$4.760;£3.140;€ 3.950
Journal of Midwifery & Women's Health;15422011;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Journal of Molecular Recognition;10991352;Biochemistry (Chemical Biology);CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
Journal of Money, Credit and Banking;15384616;Macroeconomics;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
Journal of Morphology;10974687;General & Introductory Life Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$4.220;£2.810;€ 3.570
Journal of Multi-Criteria Decision Analysis;10991360;Decision Sciences;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Journal of Multicultural Counseling and Development;21611912;Psychotherapy & Counseling;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Neurochemistry;14714159;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$5.330;£3.570;€ 4.480
Journal of Neuroendocrinology;13652826;Neuroendocrinology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.800
Journal of Neuroimaging;15526569;Neurology;CC BY*, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Journal of Neuropsychology;17486653;Clinical Neuropsychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.750;£2.500;€ 3.120
Journal of Neuroscience Research;10974547;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$4.840;£3.220;€ 4.040
Journal of Nursing Scholarship;15475069;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.640;£1.880;€ 2.730
Journal of Obstetrics and Gynaecology Research;14470756;Obstetrics & Gynecology;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.380;€ 2.970
Journal of Occupational and Organizational Psychology;20448325;Organizational & Industrial Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.840;£2.570;€ 3.200
Journal of Operations Management;18731317;Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.520;£2.330;€ 2.920
Journal of Oral Pathology & Medicine;16000714;Oral Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$4.780;£3.190;€ 3.980
Journal of Oral Rehabilitation;13652842;Restorative Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$4.990;£3.340;€ 4.200
Journal of Organizational Behavior;10991379;Organizational Behavior;CC BY, CC BY-NC or CC BY-NC-ND;$4.250;£2.830;€ 3.520
Journal of Orthopaedic Research ®;1554527X;Orthopedics;CC BY, CC BY-NC or CC BY-NC-ND;$3.970;£2.650;€ 3.310
Journal of Paediatrics and Child Health;14401754;Pediatrics;CC BY, CC BY-NC or CC BY-NC-ND;$4.150;£2.780;€ 3.470
Journal of Parenteral and Enteral Nutrition;19412444;Nutrition & Dietetics General;CC BY*, CC BY-NC or CC BY-NC-ND;$4.110;£2.750;€ 3.400
Journal of Pediatric Gastroenterology and Nutrition;15364801;Pediatrics;CC BY*, CC BY-NC or CC BY-NC-ND;$3.780;£2.780;€ 3.260
Journal of Peptide Science;10991387;Biomolecules (DNA, RNA, Peptides, etc.);CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Journal of Periodontal Research;16000765;Periodontology;CC BY, CC BY-NC or CC BY-NC-ND;$4.880;£3.240;€ 4.080
Journal of Periodontology;19433670;General Dentistry;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.350;€ 4.150
Journal of Personality;14676494;Personality & Individual Differences;CC BY, CC BY-NC or CC BY-NC-ND;$3.780;£2.520;€ 3.150
Journal of Petroleum Geology;17475457;Economic & Applied Geology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.220;€ 2.870
Journal of Pharmacy Practice and Research;20552335;Pharmacy;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
Journal of Philanthropy;26911361;Non-Profit Organizations;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Journal of Phycology;15298817;Phycology;CC BY, CC BY-NC or CC BY-NC-ND;$3.900;£2.590;€ 3.240
Journal of Physical Organic Chemistry;10991395;Physical Organic Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.650;€ 3.270
Journal of Phytopathology;14390434;Plant Pathology;CC BY, CC BY-NC or CC BY-NC-ND;$3.890;£2.610;€ 3.220
Journal of Pineal Research;1600079X;Neuroscience;CC BY, CC BY-NC or CC BY-NC-ND;$5.000;£3.350;€ 4.150
Journal of Plant Nutrition and Soil Science;15222624;Soil;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Journal of Plant Registrations;19403496;Plant Genetics;CC BY, CC BY-NC or CC BY-NC-ND;$1.740;£1.370;€ 1.580
Journal of Policy Analysis and Management;15206688;Public Administration;CC BY, CC BY-NC or CC BY-NC-ND;$3.770;£2.530;€ 3.150
Journal of Policy and Practice In Intellectual Disabilities;17411130;Intellectual Disability;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.040;€ 2.610
Journal of Polymer Science;26424169;Polymer Synthesis;CC BY, CC BY-NC or CC BY-NC-ND;$4.380;£2.960;€ 3.640
Journal of Product Innovation Management;15405885;Creativity & Innovation Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Journal of Prosthodontics;1532849X;Prosthodontics;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Journal of Psychiatric and Mental Health Nursing;13652850;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$4.850;£3.220;€ 4.010
Journal of Public Affairs;14791854;General & Introductory Business & Management;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Journal of Public Economic Theory;14679779;Public Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.270;€ 2.770
Journal of Public Health Dentistry;17527325;Community Dentistry & Public Health;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Journal of Quaternary Science;10991417;Quaternary Science & Glaciology;CC BY, CC BY-NC or CC BY-NC-ND;$4.310;£2.860;€ 3.540
Journal of Raman Spectroscopy;10974555;Spectroscopy;CC BY, CC BY-NC or CC BY-NC-ND;$4.020;£2.670;€ 3.370
Journal Of Regional Science;14679787;Regional Studies;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.520;€ 3.100
Journal of Religious Ethics;14679795;Religious Ethics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Journal of Religious History;14679809;History of Religion;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Journal of Renal Care;17556686;Nursing General;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.850
Journal of Research in Reading;14679817;Literacy & Reading;CC BY, CC BY-NC or CC BY-NC-ND;$3.620;£2.420;€ 3.040
Journal of Research in Science Teaching;10982736;Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.910;£2.610;€ 3.230
Journal of Research in Special Educational Needs;14713802;Special Educational Needs;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Journal of Research On Adolescence;15327795;Developmental Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.870
Journal of Risk and Insurance;15396975;Insurance & Risk Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Journal of School Health;17461561;Child & Family Health & Social Care;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Journal of Sensory Studies;1745459X;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.610;€ 3.400
Journal of Separation Science;16159314;Chromatography / Separation Techniques;CC BY, CC BY-NC or CC BY-NC-ND;$4.030;£2.670;€ 3.350
Journal of Sleep Research;13652869;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$4.340;£2.880;€ 3.600
Journal of Small Animal Practice;17485827;Veterinary Medicine / Small Animal General;CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£2.980;€ 3.800
Journal of Social Issues;15404560;Social Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.010
Journal of Social Philosophy;14679833;Social Philosophy;CC BY, CC BY-NC or CC BY-NC-ND;$3.350;£2.220;€ 2.770
Journal of Sociolinguistics;14679841;Linguistic Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$3.730;£2.490;€ 3.130
Journal of Software: Evolution and Process;20477481;Programming & Software Development;CC BY, CC BY-NC or CC BY-NC-ND;$4.480;£3.000;€ 3.750
Journal of Supply Chain Management;1745493X;Production Operations Management;CC BY, CC BY-NC or CC BY-NC-ND;$3.700;£2.450;€ 3.070
Journal of Surfactants and Detergents;15589293;Petrochemistry / Fuel;CC BY, CC BY-NC or CC BY-NC-ND;$3.489;£2.340;€ 2.910
Journal of Surgical Oncology;10969098;Oncology & Radiotherapy;CC BY, CC BY-NC or CC BY-NC-ND;$4.570;£3.030;€ 3.770
Journal of Systematics and Evolution;17596831;Evolution;CC BY, CC BY-NC or CC BY-NC-ND;$3.000;£2.000;€ 2.500
Journal of Texture Studies;17454603;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$3.920;£2.620;€ 3.290
Journal of the American Ceramic Society;15512916;Ceramics;CC BY, CC BY-NC or CC BY-NC-ND;$4.070;£2.730;€ 3.400
Journal of the American Geriatrics Society;15325415;Geriatric Medicine;CC BY*, CC BY-NC or CC BY-NC-ND;$4.760;£3.140;€ 3.950
Journal of The American Oil Chemists' Society;15589331;Industrial Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.555;£2.390;€ 2.970
Journal of the American Water Resources Association;17521688;Environmental Science;CC BY or CC BY-NC-ND;$3.200;£2.130;€ 2.670
Journal of the Association for Information Science and Technology;23301643;General & Introductory Computer Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.310;£2.210;€ 2.760
Journal of the Chinese Chemical Society;21926549;General Chemistry;CC BY, CC BY-NC or CC BY-NC-ND;$3.470;£2.330;€ 2.900
Journal of the European Academy of Dermatology and Venereology;14683083;Dermatology;CC BY*, CC BY-NC or CC BY-NC-ND;$5.450;£3.690;€ 4.600
Journal of the Experimental Analysis of Behavior;19383711;Psychology General;CC BY, CC BY-NC or CC BY-NC-ND;$3.150;£2.100;€ 2.650
Journal of the History of the Behavioral Sciences;15206696;General & Introductory History;CC BY, CC BY-NC or CC BY-NC-ND;$3.570;£2.380;€ 3.000
Journal of the London Mathematical Society;14697750;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.620;€ 3.280
Journal of the Peripheral Nervous System;15298027;Neurology;CC BY, CC BY-NC or CC BY-NC-ND;$4.550;£3.070;€ 3.750
Journal of the Royal Anthropological Institute;14679655;General & Introductory Anthropology;CC BY, CC BY-NC or CC BY-NC-ND;$4.120;£2.730;€ 3.450
Journal of the Science of Food and Agriculture;10970010;General & Introductory Food Science & Technology;CC BY, CC BY-NC or CC BY-NC-ND;$4.620;£3.100;€ 4.150
Journal of the Society for Information Display;19383657;Electrical Engineering - Displays;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Journal of Time Series Analysis;14679892;Time Series;CC BY, CC BY-NC or CC BY-NC-ND;$3.510;£2.340;€ 2.880
Journal of Topology;17538424;General & Introductory Mathematics;CC BY, CC BY-NC or CC BY-NC-ND;$3.930;£2.620;€ 3.280
Journal of Traumatic Stress;15736598;Clinical Psychology;CC BY, CC BY-NC or CC BY-NC-ND;$3.120;£2.040;€ 2.610
Journal of Ultrasound in Medicine;15509613;Radiology & Imaging;CC BY, CC BY-NC or CC BY-NC-ND;$4.100;£2.720;€ 3.400
Journal of Vegetation Science;16541103;Ecology & Organismal Biology;CC BY, CC BY-NC or CC BY-NC-ND;$3.600;£2.400;€ 3.000
Journal of Veterinary Emergency and Critical Care;14764431;General & Introductory Veterinary Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$3.400;£2.270;€ 2.850
Journal of Veterinary Pharmacology and Therapeutics;13652885;General & Introductory Veterinary Medicine;CC BY, CC BY-NC or CC BY-NC-ND;$4.520;£3.030;€ 3.810
Journal of Vinyl & Additive Technology;15480585;General & Introductory Materials Science;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.560;€ 3.170
Journal of Viral Hepatitis;13652893;Gastroenterology & Hepatology;CC BY, CC BY-NC or CC BY-NC-ND;$4.610;£3.080;€ 3.840
Journal of Zoology;14697998;Animal Science & Zoology;CC BY, CC BY-NC or CC BY-NC-ND;$4.430;£2.950;€ 3.700
Juvenile and Family Court Journal;17556988;Civil Law;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.450
Knee Surgery, Sports Traumatology, Arthroscopy;14337347;Sports Medicine;CC BY;$4.300;£3.300;€ 3.600
Knowledge and Process Management;10991441;Organizational Development;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.400
Kyklos;14676435;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$3.800;£2.550;€ 3.170
LABOUR;14679914;General & Introductory Economics;CC BY, CC BY-NC or CC BY-NC-ND;$2.900;£1.930;€ 2.390
Lakes & Reservoirs: Science, Policy and Management for Sustainable Use;14401770;Environmental Management, Policy & Planning;CC BY, CC BY-NC or CC BY-NC-ND;$2.760;£1.840;€ 2.280
